protein_id,length
tr|G0RRX8|G0RRX8_HYPJQ,927
tr|G0RS74|G0RS74_HYPJQ,725
tr|G0RSJ6|G0RSJ6_HYPJQ,1056
tr|G0RUC4|G0RUC4_HYPJQ,313
tr|G0RUS0|G0RUS0_HYPJQ,488
tr|G0RV78|G0RV78_HYPJQ,187
tr|G0RV82|G0RV82_HYPJQ,922
tr|G0RW78|G0RW78_HYPJQ,741
tr|G0RWC8|G0RWC8_HYPJQ,828
tr|G0RWH5|G0RWH5_HYPJQ,1131
tr|G0RWU3|G0RWU3_HYPJQ,331
tr|G0RX46|G0RX46_HYPJQ,839
tr|G0RX73|G0RX73_HYPJQ,792
sp|Q7Z9M8|XG74_HYPJQ,838
tr|G0R6P5|G0R6P5_HYPJQ,1096
sp|G0R6T1|SORT_HYPJQ,534
sp|G0R6T2|SORR2_HYPJQ,664
sp|G0R6T3|SORD_HYPJQ,574
sp|G0R6T4|SORR1_HYPJQ,685
tr|G0R6U1|G0R6U1_HYPJQ,1014
tr|G0R6U3|G0R6U3_HYPJQ,458
tr|G0R6U5|G0R6U5_HYPJQ,1062
tr|G0R6Y0|G0R6Y0_HYPJQ,166
tr|G0R6Y7|G0R6Y7_HYPJQ,878
tr|G0R6Z7|G0R6Z7_HYPJQ,1105
tr|G0R710|G0R710_HYPJQ,772
tr|G0R712|G0R712_HYPJQ,492
tr|G0R718|G0R718_HYPJQ,257
tr|G0R733|G0R733_HYPJQ,715
tr|G0R755|G0R755_HYPJQ,860
tr|G0R772|G0R772_HYPJQ,484
tr|G0R7B7|G0R7B7_HYPJQ,691
tr|G0R7B9|G0R7B9_HYPJQ,341
tr|G0R7D3|G0R7D3_HYPJQ,1885
tr|G0R7G6|G0R7G6_HYPJQ,367
tr|G0R7G9|G0R7G9_HYPJQ,340
tr|G0R7H4|G0R7H4_HYPJQ,474
tr|G0R7H9|G0R7H9_HYPJQ,900
tr|G0R7I9|G0R7I9_HYPJQ,561
tr|G0R7K0|G0R7K0_HYPJQ,322
tr|G0R7L1|G0R7L1_HYPJQ,386
tr|G0R7Q0|G0R7Q0_HYPJQ,496
tr|G0R7R2|G0R7R2_HYPJQ,348
tr|G0R7R7|G0R7R7_HYPJQ,151
tr|G0R7S0|G0R7S0_HYPJQ,421
tr|G0R7V3|G0R7V3_HYPJQ,629
tr|G0R7V9|G0R7V9_HYPJQ,218
tr|G0R7Y2|G0R7Y2_HYPJQ,1442
tr|G0R7Y4|G0R7Y4_HYPJQ,313
tr|G0R7Y7|G0R7Y7_HYPJQ,391
tr|G0R7Z3|G0R7Z3_HYPJQ,719
tr|G0R834|G0R834_HYPJQ,417
tr|G0R894|G0R894_HYPJQ,339
tr|G0R897|G0R897_HYPJQ,470
tr|G0R8C2|G0R8C2_HYPJQ,457
tr|G0R8D6|G0R8D6_HYPJQ,368
tr|G0R8F3|G0R8F3_HYPJQ,469
tr|G0R8L1|G0R8L1_HYPJQ,368
tr|G0R8N2|G0R8N2_HYPJQ,683
tr|G0R8Q4|G0R8Q4_HYPJQ,287
tr|G0R8R7|G0R8R7_HYPJQ,1150
tr|G0R8U7|G0R8U7_HYPJQ,243
tr|G0R8W2|G0R8W2_HYPJQ,1075
tr|G0R8X7|G0R8X7_HYPJQ,251
sp|G0R947|XYN1_HYPJQ,229
tr|G0R9B1|G0R9B1_HYPJQ,1690
tr|G0R9E0|G0R9E0_HYPJQ,1474
tr|G0R9E7|G0R9E7_HYPJQ,246
tr|G0R9E9|G0R9E9_HYPJQ,624
tr|G0R9M2|G0R9M2_HYPJQ,914
tr|G0R9N0|G0R9N0_HYPJQ,322
tr|G0R9N1|G0R9N1_HYPJQ,341
tr|G0R9P3|G0R9P3_HYPJQ,410
tr|G0R9P5|G0R9P5_HYPJQ,696
tr|G0R9Q9|G0R9Q9_HYPJQ,477
tr|G0R9R6|G0R9R6_HYPJQ,1619
tr|G0R9T7|G0R9T7_HYPJQ,767
tr|G0R9Y0|G0R9Y0_HYPJQ,357
tr|G0R9Y2|G0R9Y2_HYPJQ,355
tr|G0R9Y8|G0R9Y8_HYPJQ,882
tr|G0RA23|G0RA23_HYPJQ,4373
sp|G0RA32|XYN3_HYPJQ,347
tr|G0RA51|G0RA51_HYPJQ,379
tr|G0RA55|G0RA55_HYPJQ,491
tr|G0RA99|G0RA99_HYPJQ,986
tr|G0RAA0|G0RAA0_HYPJQ,1531
tr|G0RAB8|G0RAB8_HYPJQ,453
tr|G0RAC5|G0RAC5_HYPJQ,465
tr|G0RAF2|G0RAF2_HYPJQ,330
tr|G0RAJ4|G0RAJ4_HYPJQ,228
tr|G0RAQ2|G0RAQ2_HYPJQ,1118
tr|G0RAT1|G0RAT1_HYPJQ,317
tr|G0RAY7|G0RAY7_HYPJQ,937
tr|G0RB21|G0RB21_HYPJQ,296
tr|G0RB22|G0RB22_HYPJQ,974
tr|G0RB33|G0RB33_HYPJQ,1436
tr|G0RB39|G0RB39_HYPJQ,237
tr|G0RBB3|G0RBB3_HYPJQ,126
tr|G0RBB5|G0RBB5_HYPJQ,523
tr|G0RBC7|G0RBC7_HYPJQ,286
tr|G0RBD3|G0RBD3_HYPJQ,316
tr|G0RBE4|G0RBE4_HYPJQ,749
tr|G0RBG4|G0RBG4_HYPJQ,301
tr|G0RBH0|G0RBH0_HYPJQ,885
tr|G0RBI5|G0RBI5_HYPJQ,452
tr|G0RBZ0|G0RBZ0_HYPJQ,373
tr|G0RC03|G0RC03_HYPJQ,1744
tr|G0RC34|G0RC34_HYPJQ,1379
tr|G0RC70|G0RC70_HYPJQ,821
tr|G0RCA7|G0RCA7_HYPJQ,636
tr|G0RCB1|G0RCB1_HYPJQ,1368
tr|G0RCC9|G0RCC9_HYPJQ,773
tr|G0RCD4|G0RCD4_HYPJQ,676
tr|G0RCD8|G0RCD8_HYPJQ,1508
tr|G0RCE3|G0RCE3_HYPJQ,743
tr|G0RCJ2|G0RCJ2_HYPJQ,218
tr|G0RCJ7|G0RCJ7_HYPJQ,1247
tr|G0RCK0|G0RCK0_HYPJQ,487
tr|G0RCK9|G0RCK9_HYPJQ,1103
tr|G0RCQ2|G0RCQ2_HYPJQ,338
tr|G0RCS2|G0RCS2_HYPJQ,844
tr|G0RCS5|G0RCS5_HYPJQ,525
tr|G0RCT6|G0RCT6_HYPJQ,939
tr|G0RCT7|G0RCT7_HYPJQ,337
tr|G0RCV3|G0RCV3_HYPJQ,731
tr|G0RCW8|G0RCW8_HYPJQ,564
tr|G0RCZ3|G0RCZ3_HYPJQ,1061
tr|G0RCZ6|G0RCZ6_HYPJQ,311
tr|G0RD07|G0RD07_HYPJQ,449
tr|G0RD10|G0RD10_HYPJQ,486
tr|G0RD18|G0RD18_HYPJQ,510
tr|G0RD20|G0RD20_HYPJQ,580
tr|G0RD36|G0RD36_HYPJQ,270
tr|G0RD39|G0RD39_HYPJQ,384
tr|G0RD43|G0RD43_HYPJQ,1029
tr|G0RD61|G0RD61_HYPJQ,829
tr|G0RD76|G0RD76_HYPJQ,604
tr|G0RD99|G0RD99_HYPJQ,3995
tr|G0RDA2|G0RDA2_HYPJQ,462
tr|G0RDB1|G0RDB1_HYPJQ,230
tr|G0RDB7|G0RDB7_HYPJQ,445
tr|G0RDB9|G0RDB9_HYPJQ,496
tr|G0RDC2|G0RDC2_HYPJQ,399
tr|G0RDC5|G0RDC5_HYPJQ,438
tr|G0RDD6|G0RDD6_HYPJQ,722
tr|G0RDG0|G0RDG0_HYPJQ,415
tr|G0RDG7|G0RDG7_HYPJQ,1433
tr|G0RDH2|G0RDH2_HYPJQ,83
tr|G0RDJ7|G0RDJ7_HYPJQ,743
tr|G0RDL6|G0RDL6_HYPJQ,147
tr|G0RDL7|G0RDL7_HYPJQ,1360
tr|G0RDN0|G0RDN0_HYPJQ,586
tr|G0RDQ4|G0RDQ4_HYPJQ,1216
tr|G0RDR6|G0RDR6_HYPJQ,685
tr|G0RDX6|G0RDX6_HYPJQ,493
tr|G0RE02|G0RE02_HYPJQ,261
tr|G0RE09|G0RE09_HYPJQ,499
tr|G0RE21|G0RE21_HYPJQ,546
tr|G0RE22|G0RE22_HYPJQ,671
tr|G0RE28|G0RE28_HYPJQ,1410
tr|G0RE46|G0RE46_HYPJQ,98
tr|G0RE48|G0RE48_HYPJQ,319
tr|G0RE64|G0RE64_HYPJQ,475
tr|G0RE70|G0RE70_HYPJQ,408
tr|G0REB4|G0REB4_HYPJQ,268
tr|G0REG1|G0REG1_HYPJQ,1197
tr|G0REJ4|G0REJ4_HYPJQ,547
tr|G0REL1|G0REL1_HYPJQ,1204
tr|G0REP8|G0REP8_HYPJQ,244
tr|G0REQ9|G0REQ9_HYPJQ,83
tr|G0REV3|G0REV3_HYPJQ,960
sp|G0REX7|ILIB_HYPJQ,350
sp|G0REX9|ILIC_HYPJQ,449
sp|G0REY8|LP14A_HYPJQ,286
tr|G0REZ9|G0REZ9_HYPJQ,340
tr|G0RF08|G0RF08_HYPJQ,411
tr|G0RF38|G0RF38_HYPJQ,469
tr|G0RF51|G0RF51_HYPJQ,285
tr|G0RF65|G0RF65_HYPJQ,648
tr|G0RF68|G0RF68_HYPJQ,510
tr|G0RF74|G0RF74_HYPJQ,722
tr|G0RF75|G0RF75_HYPJQ,1097
tr|G0RFA6|G0RFA6_HYPJQ,607
tr|G0RFA9|G0RFA9_HYPJQ,633
tr|G0RFB0|G0RFB0_HYPJQ,433
tr|G0RFF7|G0RFF7_HYPJQ,545
tr|G0RFF9|G0RFF9_HYPJQ,417
tr|G0RFH9|G0RFH9_HYPJQ,301
tr|G0RFI2|G0RFI2_HYPJQ,801
sp|G0RFK8|X325_HYPJQ,231
tr|G0RFL5|G0RFL5_HYPJQ,591
tr|G0RFN2|G0RFN2_HYPJQ,439
tr|G0RG06|G0RG06_HYPJQ,648
tr|G0RG23|G0RG23_HYPJQ,797
tr|G0RG81|G0RG81_HYPJQ,780
tr|G0RGC0|G0RGC0_HYPJQ,648
tr|G0RGC6|G0RGC6_HYPJQ,217
tr|G0RGC9|G0RGC9_HYPJQ,918
tr|G0RGJ4|G0RGJ4_HYPJQ,567
tr|G0RGK1|G0RGK1_HYPJQ,1596
tr|G0RGK8|G0RGK8_HYPJQ,964
tr|G0RGL9|G0RGL9_HYPJQ,166
tr|G0RGQ4|G0RGQ4_HYPJQ,458
tr|G0RGS3|G0RGS3_HYPJQ,447
tr|G0RGU4|G0RGU4_HYPJQ,558
tr|G0RGW5|G0RGW5_HYPJQ,1108
tr|G0RGY3|G0RGY3_HYPJQ,559
tr|G0RH18|G0RH18_HYPJQ,517
tr|G0RH36|G0RH36_HYPJQ,631
tr|G0RH54|G0RH54_HYPJQ,1392
tr|G0RH80|G0RH80_HYPJQ,468
sp|G0RH85|CUTI1_HYPJQ,248
tr|G0RHD3|G0RHD3_HYPJQ,370
tr|G0RHE8|G0RHE8_HYPJQ,521
tr|G0RHN6|G0RHN6_HYPJQ,1609
tr|G0RHN9|G0RHN9_HYPJQ,403
tr|G0RHP5|G0RHP5_HYPJQ,549
tr|G0RHQ2|G0RHQ2_HYPJQ,1300
tr|G0RHQ7|G0RHQ7_HYPJQ,1762
tr|G0RHR0|G0RHR0_HYPJQ,815
tr|G0RHS8|G0RHS8_HYPJQ,860
tr|G0RHU1|G0RHU1_HYPJQ,442
tr|G0RHY3|G0RHY3_HYPJQ,349
tr|G0RHY7|G0RHY7_HYPJQ,417
tr|G0RHZ4|G0RHZ4_HYPJQ,622
tr|G0RI13|G0RI13_HYPJQ,2228
tr|G0RI28|G0RI28_HYPJQ,477
tr|G0RI37|G0RI37_HYPJQ,533
tr|G0RI57|G0RI57_HYPJQ,922
tr|G0RI81|G0RI81_HYPJQ,317
tr|G0RIA3|G0RIA3_HYPJQ,247
tr|G0RIC1|G0RIC1_HYPJQ,480
tr|G0RID6|G0RID6_HYPJQ,893
tr|G0RIL9|G0RIL9_HYPJQ,347
tr|G0RIW0|G0RIW0_HYPJQ,395
tr|G0RIW9|G0RIW9_HYPJQ,421
tr|G0RJ00|G0RJ00_HYPJQ,507
tr|G0RJ01|G0RJ01_HYPJQ,317
tr|G0RJ31|G0RJ31_HYPJQ,245
tr|G0RJ32|G0RJ32_HYPJQ,787
tr|G0RJ68|G0RJ68_HYPJQ,587
tr|G0RJ76|G0RJ76_HYPJQ,768
tr|G0RJB7|G0RJB7_HYPJQ,189
tr|G0RJB9|G0RJB9_HYPJQ,274
tr|G0RJH5|G0RJH5_HYPJQ,610
tr|G0RJH7|G0RJH7_HYPJQ,1085
tr|G0RJH9|G0RJH9_HYPJQ,766
tr|G0RJI0|G0RJI0_HYPJQ,743
tr|G0RJI7|G0RJI7_HYPJQ,766
tr|G0RJJ0|G0RJJ0_HYPJQ,653
tr|G0RJK8|G0RJK8_HYPJQ,315
tr|G0RJP6|G0RJP6_HYPJQ,96
tr|G0RJP7|G0RJP7_HYPJQ,452
tr|G0RJT0|G0RJT0_HYPJQ,386
tr|G0RJT3|G0RJT3_HYPJQ,582
tr|G0RJV0|G0RJV0_HYPJQ,868
tr|G0RJY0|G0RJY0_HYPJQ,541
tr|G0RJY2|G0RJY2_HYPJQ,574
tr|G0RJZ5|G0RJZ5_HYPJQ,548
tr|G0RK02|G0RK02_HYPJQ,2920
tr|G0RK31|G0RK31_HYPJQ,1171
tr|G0RK56|G0RK56_HYPJQ,857
tr|G0RK58|G0RK58_HYPJQ,460
tr|G0RK59|G0RK59_HYPJQ,1160
tr|G0RK64|G0RK64_HYPJQ,1399
tr|G0RKC0|G0RKC0_HYPJQ,431
tr|G0RKC1|G0RKC1_HYPJQ,1205
tr|G0RKD7|G0RKD7_HYPJQ,401
tr|G0RKD8|G0RKD8_HYPJQ,513
tr|G0RKE1|G0RKE1_HYPJQ,788
tr|G0RKG4|G0RKG4_HYPJQ,450
tr|G0RKK3|G0RKK3_HYPJQ,1162
tr|G0RKM4|G0RKM4_HYPJQ,1205
tr|G0RKU5|G0RKU5_HYPJQ,909
tr|G0RKV3|G0RKV3_HYPJQ,1057
tr|G0RKW2|G0RKW2_HYPJQ,1281
tr|G0RKZ1|G0RKZ1_HYPJQ,1859
tr|G0RKZ9|G0RKZ9_HYPJQ,522
tr|G0RL15|G0RL15_HYPJQ,763
tr|G0RL22|G0RL22_HYPJQ,400
tr|G0RL67|G0RL67_HYPJQ,434
tr|G0RLA0|G0RLA0_HYPJQ,1367
tr|G0RLA2|G0RLA2_HYPJQ,457
tr|G0RLA6|G0RLA6_HYPJQ,1065
tr|G0RLB7|G0RLB7_HYPJQ,1499
tr|G0RLE3|G0RLE3_HYPJQ,152
tr|G0RLE4|G0RLE4_HYPJQ,1860
tr|G0RLF8|G0RLF8_HYPJQ,1558
tr|G0RLG5|G0RLG5_HYPJQ,941
tr|G0RLL5|G0RLL5_HYPJQ,413
tr|G0RLL8|G0RLL8_HYPJQ,459
tr|G0RLP0|G0RLP0_HYPJQ,1158
tr|G0RLS8|G0RLS8_HYPJQ,570
tr|G0RLX2|G0RLX2_HYPJQ,1093
tr|G0RM29|G0RM29_HYPJQ,605
tr|G0RM42|G0RM42_HYPJQ,381
tr|G0RM75|G0RM75_HYPJQ,985
tr|G0RM86|G0RM86_HYPJQ,2164
tr|G0RMB1|G0RMB1_HYPJQ,1162
tr|G0RME8|G0RME8_HYPJQ,283
tr|G0RMF3|G0RMF3_HYPJQ,729
tr|G0RMF5|G0RMF5_HYPJQ,2037
tr|G0RMF7|G0RMF7_HYPJQ,96
tr|G0RMG8|G0RMG8_HYPJQ,456
tr|G0RMH6|G0RMH6_HYPJQ,502
tr|G0RMH8|G0RMH8_HYPJQ,355
tr|G0RMI8|G0RMI8_HYPJQ,243
tr|G0RMJ8|G0RMJ8_HYPJQ,157
tr|G0RMK6|G0RMK6_HYPJQ,1262
tr|G0RMN2|G0RMN2_HYPJQ,362
tr|G0RMQ7|G0RMQ7_HYPJQ,100
tr|G0RMS6|G0RMS6_HYPJQ,309
tr|G0RMS9|G0RMS9_HYPJQ,954
tr|G0RMT8|G0RMT8_HYPJQ,1755
tr|G0RMV4|G0RMV4_HYPJQ,253
tr|G0RMW2|G0RMW2_HYPJQ,1064
tr|G0RMX0|G0RMX0_HYPJQ,506
tr|G0RMX3|G0RMX3_HYPJQ,660
tr|G0RMZ5|G0RMZ5_HYPJQ,1070
tr|G0RMZ6|G0RMZ6_HYPJQ,216
tr|G0RN86|G0RN86_HYPJQ,209
tr|G0RN95|G0RN95_HYPJQ,715
tr|G0RNB2|G0RNB2_HYPJQ,351
tr|G0RNH0|G0RNH0_HYPJQ,465
tr|G0RNJ5|G0RNJ5_HYPJQ,629
tr|G0RNK7|G0RNK7_HYPJQ,464
tr|G0RNL8|G0RNL8_HYPJQ,341
tr|G0RNM6|G0RNM6_HYPJQ,763
tr|G0RNP2|G0RNP2_HYPJQ,785
tr|G0RNQ0|G0RNQ0_HYPJQ,537
tr|G0RNQ8|G0RNQ8_HYPJQ,861
tr|G0RNW1|G0RNW1_HYPJQ,429
tr|G0RP16|G0RP16_HYPJQ,513
tr|G0RP52|G0RP52_HYPJQ,566
tr|G0RPB0|G0RPB0_HYPJQ,478
tr|G0RPH9|G0RPH9_HYPJQ,368
tr|G0RPJ0|G0RPJ0_HYPJQ,300
tr|G0RPN4|G0RPN4_HYPJQ,406
tr|G0RPP9|G0RPP9_HYPJQ,139
tr|G0RPU1|G0RPU1_HYPJQ,1071
tr|G0RPU6|G0RPU6_HYPJQ,374
tr|G0RPV1|G0RPV1_HYPJQ,486
tr|G0RPV3|G0RPV3_HYPJQ,2670
tr|G0RPV5|G0RPV5_HYPJQ,497
tr|G0RPY3|G0RPY3_HYPJQ,306
sp|G0RPY6|AA12_HYPJQ,430
tr|G0RPY7|G0RPY7_HYPJQ,564
tr|G0RPY9|G0RPY9_HYPJQ,934
tr|G0RPZ2|G0RPZ2_HYPJQ,338
tr|G0RQ00|G0RQ00_HYPJQ,365
tr|G0RQ08|G0RQ08_HYPJQ,396
tr|G0RQ23|G0RQ23_HYPJQ,456
tr|G0RQ33|G0RQ33_HYPJQ,359
tr|G0RQ57|G0RQ57_HYPJQ,153
tr|G0RQ81|G0RQ81_HYPJQ,513
tr|G0RQ98|G0RQ98_HYPJQ,543
tr|G0RQA6|G0RQA6_HYPJQ,877
tr|G0RQD2|G0RQD2_HYPJQ,1113
tr|G0RQG5|G0RQG5_HYPJQ,986
tr|G0RQH9|G0RQH9_HYPJQ,645
tr|G0RQK0|G0RQK0_HYPJQ,154
tr|G0RQQ4|G0RQQ4_HYPJQ,459
tr|G0RQT1|G0RQT1_HYPJQ,457
tr|G0RQT3|G0RQT3_HYPJQ,330
tr|G0RQT4|G0RQT4_HYPJQ,572
tr|G0RQU7|G0RQU7_HYPJQ,695
tr|G0RR28|G0RR28_HYPJQ,839
tr|G0RR45|G0RR45_HYPJQ,236
tr|G0RR80|G0RR80_HYPJQ,410
tr|G0RR81|G0RR81_HYPJQ,1309
tr|G0RR82|G0RR82_HYPJQ,173
tr|G0RRA6|G0RRA6_HYPJQ,275
tr|G0RRP3|G0RRP3_HYPJQ,350
tr|G0RRP4|G0RRP4_HYPJQ,474
tr|G0RRV4|G0RRV4_HYPJQ,2810
tr|G0RRX2|G0RRX2_HYPJQ,760
tr|G0RS89|G0RS89_HYPJQ,922
sp|G0RS98|VELB_HYPJQ,490
tr|G0RSD6|G0RSD6_HYPJQ,446
tr|G0RSE3|G0RSE3_HYPJQ,349
tr|G0RSE5|G0RSE5_HYPJQ,164
tr|G0RSF9|G0RSF9_HYPJQ,583
tr|G0RSM1|G0RSM1_HYPJQ,367
tr|G0RSN3|G0RSN3_HYPJQ,584
tr|G0RSN4|G0RSN4_HYPJQ,539
tr|G0RSP9|G0RSP9_HYPJQ,567
tr|G0RSS4|G0RSS4_HYPJQ,129
tr|G0RSX6|G0RSX6_HYPJQ,724
tr|G0RT22|G0RT22_HYPJQ,555
tr|G0RT37|G0RT37_HYPJQ,1531
tr|G0RT55|G0RT55_HYPJQ,698
sp|G0RT93|PP2C2_HYPJQ,438
tr|G0RTA6|G0RTA6_HYPJQ,549
tr|G0RTA9|G0RTA9_HYPJQ,978
tr|G0RTB8|G0RTB8_HYPJQ,482
tr|G0RTE5|G0RTE5_HYPJQ,185
tr|G0RTE6|G0RTE6_HYPJQ,404
tr|G0RTE9|G0RTE9_HYPJQ,462
tr|G0RTF1|G0RTF1_HYPJQ,259
tr|G0RTG1|G0RTG1_HYPJQ,363
tr|G0RTN6|G0RTN6_HYPJQ,416
tr|G0RTP3|G0RTP3_HYPJQ,514
tr|G0RTP4|G0RTP4_HYPJQ,382
tr|G0RTP6|G0RTP6_HYPJQ,335
tr|G0RTW6|G0RTW6_HYPJQ,1023
tr|G0RTY5|G0RTY5_HYPJQ,1419
tr|G0RTZ3|G0RTZ3_HYPJQ,324
tr|G0RU00|G0RU00_HYPJQ,1101
tr|G0RU75|G0RU75_HYPJQ,360
tr|G0RU94|G0RU94_HYPJQ,720
tr|G0RUC7|G0RUC7_HYPJQ,307
tr|G0RUD7|G0RUD7_HYPJQ,431
tr|G0RUE1|G0RUE1_HYPJQ,891
tr|G0RUK0|G0RUK0_HYPJQ,361
tr|G0RUL4|G0RUL4_HYPJQ,447
tr|G0RUP2|G0RUP2_HYPJQ,462
tr|G0RUR2|G0RUR2_HYPJQ,759
tr|G0RUX6|G0RUX6_HYPJQ,417
tr|G0RUZ4|G0RUZ4_HYPJQ,407
tr|G0RV11|G0RV11_HYPJQ,480
tr|G0RV14|G0RV14_HYPJQ,350
tr|G0RV25|G0RV25_HYPJQ,121
tr|G0RV41|G0RV41_HYPJQ,169
tr|G0RV76|G0RV76_HYPJQ,1236
tr|G0RVA0|G0RVA0_HYPJQ,917
tr|G0RVD7|G0RVD7_HYPJQ,1621
sp|G0RVE5|HYP3_HYPJQ,102
tr|G0RVG1|G0RVG1_HYPJQ,553
tr|G0RVG3|G0RVG3_HYPJQ,854
tr|G0RW38|G0RW38_HYPJQ,142
tr|G0RWE0|G0RWE0_HYPJQ,334
tr|G0RWG0|G0RWG0_HYPJQ,1091
tr|G0RWG2|G0RWG2_HYPJQ,394
tr|G0RWH0|G0RWH0_HYPJQ,723
tr|G0RWH4|G0RWH4_HYPJQ,344
tr|G0RWM5|G0RWM5_HYPJQ,888
tr|G0RWN9|G0RWN9_HYPJQ,413
tr|G0RWQ3|G0RWQ3_HYPJQ,653
tr|G0RWR2|G0RWR2_HYPJQ,2072
tr|G0RWT0|G0RWT0_HYPJQ,591
tr|G0RWU6|G0RWU6_HYPJQ,620
tr|G0RWV8|G0RWV8_HYPJQ,172
tr|G0RX04|G0RX04_HYPJQ,783
tr|G0RX17|G0RX17_HYPJQ,400
tr|G0RX38|G0RX38_HYPJQ,439
tr|G0RX39|G0RX39_HYPJQ,528
tr|G0RX52|G0RX52_HYPJQ,640
tr|G0RX96|G0RX96_HYPJQ,720
tr|G0RXE6|G0RXE6_HYPJQ,352
tr|G0RXI9|G0RXI9_HYPJQ,191
tr|G0RXJ2|G0RXJ2_HYPJQ,120
sp|P9WEU0|ILID_HYPJQ,305
tr|E6PBR6|E6PBR6_HYPJQ,810
tr|G0R6P6|G0R6P6_HYPJQ,653
tr|G0R6Q4|G0R6Q4_HYPJQ,313
tr|G0R6Q6|G0R6Q6_HYPJQ,520
tr|G0R6R3|G0R6R3_HYPJQ,523
tr|G0R6R4|G0R6R4_HYPJQ,599
tr|G0R6S5|G0R6S5_HYPJQ,1377
sp|G0R6S7|SOR7_HYPJQ,358
tr|G0R6T6|G0R6T6_HYPJQ,302
tr|G0R6U2|G0R6U2_HYPJQ,197
tr|G0R6U4|G0R6U4_HYPJQ,806
tr|G0R6U6|G0R6U6_HYPJQ,599
tr|G0R6U7|G0R6U7_HYPJQ,120
tr|G0R6V0|G0R6V0_HYPJQ,368
tr|G0R6V1|G0R6V1_HYPJQ,789
tr|G0R6V3|G0R6V3_HYPJQ,359
tr|G0R6W2|G0R6W2_HYPJQ,277
tr|G0R6W3|G0R6W3_HYPJQ,243
tr|G0R6W6|G0R6W6_HYPJQ,354
tr|G0R6W9|G0R6W9_HYPJQ,338
tr|G0R6X6|G0R6X6_HYPJQ,1240
tr|G0R6X8|G0R6X8_HYPJQ,477
tr|G0R6Y2|G0R6Y2_HYPJQ,826
tr|G0R6Y3|G0R6Y3_HYPJQ,336
tr|G0R6Y4|G0R6Y4_HYPJQ,512
tr|G0R6Z0|G0R6Z0_HYPJQ,656
tr|G0R6Z1|G0R6Z1_HYPJQ,664
tr|G0R6Z3|G0R6Z3_HYPJQ,432
tr|G0R6Z4|G0R6Z4_HYPJQ,134
tr|G0R6Z5|G0R6Z5_HYPJQ,533
tr|G0R6Z6|G0R6Z6_HYPJQ,534
tr|G0R6Z8|G0R6Z8_HYPJQ,515
tr|G0R707|G0R707_HYPJQ,548
tr|G0R711|G0R711_HYPJQ,461
tr|G0R713|G0R713_HYPJQ,485
tr|G0R715|G0R715_HYPJQ,289
tr|G0R720|G0R720_HYPJQ,558
tr|G0R721|G0R721_HYPJQ,547
tr|G0R725|G0R725_HYPJQ,1395
tr|G0R726|G0R726_HYPJQ,221
tr|G0R728|G0R728_HYPJQ,626
tr|G0R729|G0R729_HYPJQ,372
tr|G0R737|G0R737_HYPJQ,436
tr|G0R738|G0R738_HYPJQ,99
tr|G0R744|G0R744_HYPJQ,600
