protein_id,length,domain_count,domain_architecture
tr|G0RV92|G0RV92_HYPJQ,459,1,GH30_7
tr|G0RNW6|G0RNW6_HYPJQ,457,1,GH28
tr|G0RTB0|G0RTB0_HYPJQ,456,1,GH72
tr|G0RTS0|G0RTS0_HYPJQ,449,1,GH64
tr|G0RC44|G0RC44_HYPJQ,444,1,GH27
tr|G0RXL3|G0RXL3_HYPJQ,440,1,GH39
tr|G0RXC7|G0RXC7_HYPJQ,438,1,GH5_5
tr|G0RDC0|G0RDC0_HYPJQ,436,1,GH132
tr|G0RFB0|G0RFB0_HYPJQ,433,1,GH16_19
sp|G0RPY6|AA12_HYPJQ,430,1,AA12
tr|G0RGE0|G0RGE0_HYPJQ,429,1,GH71
tr|G0RNW1|G0RNW1_HYPJQ,429,1,GH5_15
tr|G0RSA2|G0RSA2_HYPJQ,424,1,GH18
tr|G0REN0|G0REN0_HYPJQ,422,1,PL38
tr|G0RB67|G0RB67_HYPJQ,418,1,GH5_5
tr|G0RVY2|G0RVY2_HYPJQ,415,1,GT15
tr|G0RVZ9|G0RVZ9_HYPJQ,411,1,GH18
tr|G0RB43|G0RB43_HYPJQ,409,1,GH76
tr|G0RWB2|G0RWB2_HYPJQ,405,1,GH28
tr|G0R9G0|G0R9G0_HYPJQ,401,1,GH18
tr|G0RTT0|G0RTT0_HYPJQ,401,1,GH18
tr|G0RWB1|G0RWB1_HYPJQ,401,1,GH28
tr|G0RWT4|G0RWT4_HYPJQ,396,1,GH16_23
tr|G0RKU0|G0RKU0_HYPJQ,393,1,GH18
tr|G0RRS0|G0RRS0_HYPJQ,392,1,GH18
tr|G0RGT7|G0RGT7_HYPJQ,382,1,AA11
tr|G0R949|G0R949_HYPJQ,379,1,GH28
tr|G0RBA1|G0RBA1_HYPJQ,376,1,GH18
tr|G0RL27|G0RL27_HYPJQ,374,1,GH72
tr|G0RRF8|G0RRF8_HYPJQ,370,1,GT17
tr|G0RC85|G0RC85_HYPJQ,369,1,GH5_7
tr|G0RFE9|G0RFE9_HYPJQ,369,1,GH16_18
tr|G0RDA9|G0RDA9_HYPJQ,364,1,AA11
tr|G0RHJ4|G0RHJ4_HYPJQ,348,1,CE16
sp|G0RA32|XYN3_HYPJQ,347,1,GH10
sp|G0R6T8|LP9A_HYPJQ,344,1,AA9
tr|G0RHB8|G0RHB8_HYPJQ,343,1,GH18
tr|G0R9X3|G0R9X3_HYPJQ,342,1,CE16
tr|G0R6W9|G0R6W9_HYPJQ,338,1,AA2
tr|G0RLU2|G0RLU2_HYPJQ,335,1,GH16_1
tr|G0RRQ0|G0RRQ0_HYPJQ,332,1,GH16_18
tr|G0R7M8|G0R7M8_HYPJQ,324,1,GH18
tr|G0REY3|G0REY3_HYPJQ,322,1,GH62
tr|G0RT85|G0RT85_HYPJQ,322,1,GH43_34
tr|G0RU01|G0RU01_HYPJQ,319,1,GH128
tr|G0R6T7|G0R6T7_HYPJQ,316,1,CBM1
tr|G0RRQ4|G0RRQ4_HYPJQ,306,1,CE1
tr|G0RKI9|G0RKI9_HYPJQ,305,1,CE1
tr|G0R6T6|G0R6T6_HYPJQ,302,1,CE5
tr|G0R8N5|G0R8N5_HYPJQ,299,1,CE5
tr|G0RSY5|G0RSY5_HYPJQ,297,1,CE4
tr|G0RGI2|G0RGI2_HYPJQ,292,1,GH128
tr|G0RN50|G0RN50_HYPJQ,287,1,GH16_3
tr|G0RU13|G0RU13_HYPJQ,287,1,GH16_3
sp|G0REY8|LP14A_HYPJQ,286,1,AA14
tr|G0RQ16|G0RQ16_HYPJQ,275,1,GH16_18
tr|G0RQX0|G0RQX0_HYPJQ,272,1,GH128
tr|G0RP87|G0RP87_HYPJQ,268,1,GH24
tr|G0R863|G0R863_HYPJQ,258,1,PL20
tr|G0RV94|G0RV94_HYPJQ,258,1,PL20
tr|G0RRM2|G0RRM2_HYPJQ,254,1,GH75
tr|G0RRM1|G0RRM1_HYPJQ,252,1,PL7_4
sp|Q7Z9M7|LP9B_HYPJQ,249,1,AA9
sp|G0RH85|CUTI1_HYPJQ,248,1,CE5
tr|G0R931|G0R931_HYPJQ,248,1,PL7_4
tr|G0RP66|G0RP66_HYPJQ,242,1,GH45_2
tr|G0RWI2|G0RWI2_HYPJQ,235,1,GH75
tr|G0RRG8|G0RRG8_HYPJQ,234,1,GH12
sp|G0R947|XYN1_HYPJQ,229,1,GH11
tr|G0RT43|G0RT43_HYPJQ,229,1,GH75
tr|G0RAJ4|G0RAJ4_HYPJQ,228,1,GH25
sp|G0RUP7|XYN2_HYPJQ,223,1,GH11
tr|G0R9X1|G0R9X1_HYPJQ,217,1,AA11
